ID,Yards,OffensivePlays,TurnOversLost,FumblesLost,FirstDowns,PassesCompleted,PassesAttempted,YardsGainedPassing,InterceptionsThrown,RushingAttempts,YardsGainedRushing,PenaltiesCommitedByTeam,PenaltiesInYards,FirstDownsByPenalty,NumberOfDrives,OppYards,OppOffensivePlays,OppTurnOversLost,OppFumblesLost,OppFirstDowns,OppPassesCompleted,OppPassesAttempted,OppYardsGainedPassing,OppInterceptionsThrown,OppRushingAttempts,OppYardsGainedRushing,OppPenaltiesCommitedByTeam,OppPenaltiesInYards,OppFirstDownsByPenalty,OppNumberOfDrives,Wins
188,5460,1019,33,12,330,291,469,3065,21,512,2395,83,675,21,177,5949,948,18,5,316,329,506,4004,13,416,1945,85,748,21,174,8
189,6008,1017,21,9,327,376,570,4201,12,408,1807,114,816,17,185,5491,972,25,10,305,336,545,3906,15,385,1585,85,650,28,180,8
190,5535,1038,27,15,316,268,479,3167,12,523,2368,105,931,30,189,5334,1002,39,15,288,285,514,3287,24,441,2047,112,920,20,190,9
191,5184,1058,21,9,300,261,433,2808,12,592,2376,103,785,21,194,4177,928,34,8,228,276,528,2875,26,366,1302,114,792,18,195,11
192,6577,1068,21,11,379,411,612,4825,10,423,1752,103,834,38,174,5654,944,21,10,314,350,543,4049,11,368,1605,97,835,33,174,11
193,5122,1022,26,12,279,358,594,3597,14,397,1525,125,1002,16,193,5110,960,20,11,294,296,470,3216,9,449,1894,95,718,25,195,4
194,4515,994,29,13,248,365,629,3275,16,337,1240,116,939,19,198,5721,1041,14,5,320,343,538,3810,9,481,1911,116,941,35,197,3
195,5915,1020,17,7,361,307,474,3458,10,519,2457,94,846,27,185,5069,1041,27,11,295,331,571,3559,16,420,1510,123,909,23,187,13
196,5595,938,19,7,287,246,414,3158,12,504,2437,94,637,17,192,5299,1026,25,13,296,333,557,3387,12,432,1912,88,736,18,185,12
197,3797,925,34,17,218,274,513,2320,17,357,1477,97,702,13,203,5539,1078,22,10,308,345,543,3643,12,504,1896,89,661,27,197,5
198,5202,1071,31,14,318,300,500,3341,17,521,1861,99,739,44,194,4814,946,26,11,256,271,495,3083,15,414,1731,142,1015,19,190,9
199,5458,1097,17,8,353,361,577,3567,9,497,1891,58,598,42,178,5319,957,31,9,284,364,560,3625,22,366,1694,116,1003,14,180,13
200,4756,988,26,11,293,338,528,3295,15,411,1461,103,796,28,180,5223,1012,28,14,316,347,568,3681,14,406,1542,102,798,30,182,7
201,5818,1050,28,12,347,361,587,4078,16,430,1740,100,792,35,179,5852,1083,30,11,356,321,555,3411,19,500,2441,99,816,25,177,7
202,6848,1082,17,5,399,402,612,5084,12,438,1764,87,815,30,180,6577,1064,34,11,370,386,619,4703,23,405,1874,115,907,24,181,13
203,4792,1020,28,11,275,306,532,3304,17,446,1488,111,1005,24,192,4783,968,25,11,270,294,484,3042,14,449,1741,96,709,26,195,6
204,7474,1117,19,5,416,472,662,5347,14,431,2127,99,851,20,175,5895,1010,16,7,326,362,626,4157,9,351,1738,109,912,38,182,13
205,6264,1075,23,10,330,372,580,4503,13,472,1761,79,597,24,190,4917,930,19,8,262,267,474,2854,11,418,2063,89,674,18,189,10
206,5229,975,20,12,281,316,490,3357,8,449,1872,81,614,21,185,4451,977,35,19,258,297,490,2725,16,454,1726,86,706,7,182,9
207,4550,938,30,13,241,297,497,3047,17,395,1503,99,770,16,178,5069,1021,23,8,292,279,471,2867,15,527,2202,97,716,15,179,6
208,4943,1025,32,12,272,332,540,3123,20,442,1820,123,903,25,197,4803,977,36,15,272,355,599,3818,21,348,985,112,899,27,192,6
209,5719,1022,21,13,328,288,469,3328,8,522,2391,76,594,21,169,5021,970,30,10,286,319,543,3416,20,390,1605,82,636,13,171,11
210,5143,1004,26,14,310,272,450,3000,12,513,2143,76,577,21,182,5262,999,30,15,298,314,506,3334,15,461,1928,85,709,18,182,9
211,4760,1026,37,9,281,333,574,3233,28,404,1527,94,794,23,193,5457,999,27,9,316,318,523,3613,18,445,1844,95,732,21,191,3
212,5035,957,27,11,288,327,515,3400,16,395,1635,123,1139,20,186,5626,1005,25,12,301,368,540,3861,13,425,1765,105,882,29,182,6
213,5438,1019,28,20,302,314,535,3438,8,448,2000,103,878,25,186,5234,997,27,13,298,264,485,2993,14,480,2241,101,1012,24,184,8
214,6012,1021,14,7,328,287,454,3250,7,525,2762,130,1009,24,175,4274,924,24,11,277,313,507,2970,13,380,1304,70,613,32,171,12
215,4929,1009,38,19,259,217,415,2255,19,552,2674,126,970,23,217,4341,1026,41,17,248,296,531,2805,24,448,1536,106,935,26,218,10
216,4930,996,25,15,287,287,491,2911,10,458,2019,99,831,19,197,6502,1102,20,10,358,322,521,3848,10,548,2654,93,795,31,203,2
217,6237,999,23,6,345,312,519,3829,17,445,2408,113,1013,31,179,6042,972,24,10,329,318,490,3949,14,451,2093,98,901,28,171,6
218,5028,1036,22,8,271,373,608,3479,14,394,1549,91,895,27,194,5971,1052,19,6,313,347,561,4038,13,464,1933,115,923,23,197,3
219,4432,981,21,9,269,291,514,2820,12,420,1612,121,1136,37,188,5568,1020,31,10,324,352,547,3806,21,438,1762,105,1012,39,187,4
220,6446,1067,20,5,360,399,607,4661,15,443,1785,120,1045,35,198,4883,1031,25,7,311,399,641,3607,18,349,1276,103,816,32,195,12
221,7317,1156,26,16,435,461,675,5444,10,461,1873,117,1000,35,202,5696,1074,26,9,339,357,613,4070,17,420,1626,97,807,41,206,13
222,4659,991,28,12,272,283,527,3006,16,421,1653,124,1038,21,191,5412,1014,30,13,325,285,483,3195,17,504,2217,95,835,27,188,5
223,5991,1050,14,7,348,404,629,4587,7,383,1404,96,860,31,192,5430,1042,21,9,303,361,596,3852,12,397,1578,112,1013,22,190,12
224,5772,1015,30,9,336,310,506,3836,21,472,1936,100,939,32,176,5165,974,31,13,294,301,511,3506,18,429,1659,93,895,27,183,9
225,5618,960,22,11,301,336,547,3979,11,376,1639,124,952,26,192,5115,1039,28,11,299,334,550,3212,17,442,1903,119,1001,33,183,13
226,5192,993,32,9,286,307,550,3567,23,389,1625,106,1004,28,199,5682,1095,19,9,333,340,578,3696,10,475,1986,122,950,41,204,8
227,6161,1028,24,8,331,359,589,4734,16,411,1427,94,795,31,200,6022,1072,31,11,338,361,589,4082,20,435,1940,110,933,25,196,9
228,6540,1160,33,16,382,445,740,4927,17,391,1613,103,944,26,197,5458,998,17,6,305,346,544,3569,11,420,1889,93,789,31,190,4
229,5726,975,23,10,290,335,553,4089,13,384,1637,115,951,21,192,5137,1037,38,13,295,354,580,3462,25,413,1675,104,789,35,197,11
230,6152,1138,20,9,378,380,628,4087,11,470,2065,69,625,43,201,5969,1118,29,12,338,336,589,3824,17,481,2145,110,951,20,196,12
231,5809,980,24,5,339,402,601,4515,19,366,1294,74,546,29,174,5427,1084,26,10,320,372,583,3403,16,467,2024,92,889,11,179,14
232,5729,1047,27,12,323,350,577,3755,15,421,1974,83,649,19,182,4982,979,19,8,279,312,539,3449,11,403,1533,81,616,22,187,8
233,4891,1013,25,9,289,313,488,3153,16,491,1738,70,560,29,176,5306,1020,25,9,312,316,532,3222,16,453,2084,105,843,20,182,10
234,5149,1021,17,11,301,283,487,3190,6,502,1959,121,1006,34,193,4655,963,28,9,273,285,482,2946,19,434,1709,130,1055,36,185,12
235,5193,989,26,10,291,309,542,3587,16,406,1606,129,1141,32,193,6141,1067,33,20,343,324,545,3888,13,485,2253,119,965,32,194,8
236,3926,984,26,11,245,303,513,2406,15,420,1520,75,591,20,186,5208,1013,24,12,296,315,506,3287,12,490,1921,102,772,21,184,4
237,5456,1045,26,13,298,355,562,3619,13,451,1837,95,834,14,189,4898,945,30,8,259,276,475,2997,22,441,1901,88,660,19,192,9
238,4262,975,28,4,250,319,588,2924,24,376,1338,107,859,29,190,5360,997,28,13,298,331,522,3578,15,447,1782,119,953,27,192,5
239,4946,1011,25,12,295,286,477,2890,13,505,2056,114,863,27,177,4822,980,25,6,276,318,547,3249,19,399,1573,99,767,16,185,10
240,5359,1052,29,13,321,369,626,3728,16,392,1631,129,1187,39,191,5147,1030,13,6,305,345,551,3444,7,446,1703,101,948,38,191,3
241,5199,982,27,14,278,347,540,3751,13,401,1448,92,733,21,191,5566,1045,23,7,307,306,531,3420,16,472,2146,100,887,31,195,7
242,4988,976,33,16,298,342,551,3503,17,371,1485,93,779,37,191,5475,1004,19,8,317,319,503,3678,11,462,1797,112,982,24,186,3
243,4635,927,29,11,265,296,478,2989,18,413,1646,78,675,24,177,5601,1041,28,9,317,309,507,3531,19,505,2070,85,741,20,176,5
244,4573,987,26,12,258,278,521,2751,14,423,1822,134,1120,20,189,5904,1036,25,11,317,286,467,3394,14,544,2510,115,981,31,200,4
245,6295,1073,18,7,365,378,574,4258,11,478,2037,93,744,28,184,5746,1002,28,10,322,370,605,3943,18,367,1803,91,838,21,187,11
246,6051,1035,23,8,330,418,632,4553,15,372,1498,97,840,22,175,6372,1038,28,12,358,359,566,4478,16,450,1894,91,744,26,169,6
247,5307,977,19,7,291,365,588,3811,12,344,1496,134,1090,25,187,6019,1076,16,3,351,350,542,4000,13,503,2019,121,1005,36,191,6
248,6179,1070,24,9,371,432,644,4461,15,408,1718,120,953,38,182,5435,997,26,11,315,384,542,3805,15,417,1630,131,1115,25,172,10
249,4631,936,31,10,263,276,466,3015,21,414,1616,91,768,24,198,5029,1002,35,14,282,363,582,3588,21,386,1441,93,790,11,196,11
250,5525,993,18,9,295,298,479,3601,9,471,1924,100,903,14,179,4429,974,35,14,272,363,593,3425,21,333,1004,86,716,29,179,12
251,4693,949,20,7,263,285,505,2916,13,407,1777,121,1000,29,188,5401,1071,24,10,320,328,535,3514,14,498,1887,114,976,35,189,6
252,5044,980,24,8,278,281,471,3005,16,485,2039,94,761,16,191,5124,1013,48,18,297,338,555,3412,30,416,1712,86,665,23,185,11
253,5311,1005,22,9,314,309,493,3141,13,480,2170,97,939,25,171,5089,1000,21,11,312,371,559,3425,10,403,1664,107,880,35,171,9
254,5704,967,31,12,324,347,559,3969,19,380,1735,110,967,19,172,5548,1012,11,3,322,342,530,3598,8,445,1950,103,959,35,174,3
255,4963,949,36,18,271,340,512,3474,18,393,1489,117,916,22,194,4552,961,27,11,258,247,436,2579,16,480,1973,112,897,26,187,5
256,5457,1054,39,16,335,377,600,3961,23,411,1496,92,667,27,197,5052,964,46,22,272,296,510,3072,24,412,1980,114,882,16,194,12
257,5616,1087,21,7,307,288,525,3242,14,534,2374,103,934,18,199,4664,979,30,18,272,269,531,3210,12,408,1454,74,679,33,201,11
258,5243,979,17,7,295,274,470,3027,10,490,2216,106,939,22,179,5688,997,12,6,301,289,486,3491,6,492,2197,94,856,28,179,5
259,5118,1015,22,8,285,308,535,3340,14,455,1778,99,874,32,197,5060,1009,22,12,284,319,539,3385,10,425,1675,101,878,20,200,9
260,4634,988,26,8,271,325,557,3001,18,360,1633,73,573,31,195,5932,1085,20,14,330,355,541,3899,6,499,2033,115,886,23,193,3
261,5687,1038,25,10,313,299,511,3408,15,499,2279,104,807,23,194,4928,976,37,14,292,310,514,3238,23,420,1690,78,720,28,187,7
262,5653,1012,11,4,329,280,427,3093,7,534,2560,111,959,40,181,5653,955,26,14,323,355,546,3842,12,366,1811,108,981,31,176,10
263,5799,1109,27,9,360,339,628,4128,18,440,1671,94,801,42,180,5988,995,15,3,325,334,535,3788,12,428,2200,128,1208,33,180,11
264,4842,1010,16,6,278,289,476,2825,10,487,2017,98,872,24,180,5682,1066,25,7,348,370,573,3688,18,466,1994,97,873,28,183,9
265,6571,1047,26,8,354,413,636,4977,18,398,1594,86,797,19,178,5432,999,22,7,299,299,526,3547,15,445,1885,84,637,19,174,8
266,3970,907,34,19,251,268,470,2642,15,384,1328,98,801,31,168,4940,1047,28,7,321,284,463,2755,21,554,2185,115,981,34,184,4
267,5513,1062,22,9,313,295,485,3352,13,551,2161,94,834,34,194,5571,1077,34,14,329,363,619,3890,20,420,1681,99,786,34,199,9
268,5499,1052,29,10,318,306,563,3685,19,453,1814,98,835,25,193,5756,1035,27,10,329,409,612,4291,17,376,1465,112,907,16,196,6
269,5462,994,24,11,313,327,523,3833,13,435,1629,92,717,25,188,5681,1038,31,12,337,349,555,3818,19,448,1863,97,836,22,186,8
270,5465,1009,23,5,326,380,574,4098,18,398,1367,111,967,37,174,5413,988,18,11,307,320,524,3427,7,438,1986,129,1067,41,179,9
271,5973,1048,14,7,333,379,596,4051,7,434,1922,147,1247,37,194,6001,987,30,14,318,328,541,4120,16,421,1881,115,1062,36,190,12
272,5452,1045,20,8,310,365,604,4030,12,396,1422,118,989,28,179,4815,984,27,7,310,383,592,3706,20,350,1109,99,849,42,182,11
273,5779,1011,21,10,313,265,434,3336,11,560,2443,71,591,25,174,5566,998,18,8,309,325,549,3526,10,415,2040,109,854,12,178,11
274,5396,1029,18,10,323,333,546,3340,8,442,2056,101,774,34,197,5885,1067,36,15,303,334,592,3962,21,428,1923,112,852,26,204,11
275,6085,1035,42,17,331,339,539,3885,25,480,2200,92,777,27,207,4990,974,39,23,263,308,539,3370,16,389,1620,107,899,16,202,10
276,5026,1060,25,7,310,339,598,3640,18,410,1386,110,880,44,202,4973,1008,21,6,283,343,564,3541,15,407,1432,129,1128,28,200,8
277,5387,1032,35,11,312,346,591,3773,24,400,1614,91,897,29,188,5437,988,21,8,295,308,509,3553,13,438,1884,123,1006,20,190,5
278,5571,1025,37,13,314,392,599,4036,24,380,1535,131,941,23,195,5602,1007,27,14,321,314,507,3424,13,459,2178,117,1066,27,193,6
279,5142,1052,30,11,311,355,619,3704,19,396,1438,108,931,39,194,6066,1072,25,8,331,354,585,4114,17,452,1952,133,1168,32,194,8
280,5288,1014,31,14,292,267,452,2956,17,519,2332,90,692,23,190,4679,946,25,13,255,324,530,3449,12,371,1230,109,1002,20,191,10
281,5780,1060,30,12,346,440,652,4314,18,392,1466,68,581,20,180,5570,964,23,10,288,327,524,3924,13,408,1646,89,685,12,182,7
282,5556,1089,31,9,307,371,633,3813,22,414,1743,112,1138,19,201,5081,970,11,4,282,287,484,3123,7,454,1958,103,809,36,194,2
283,5048,981,20,2,288,322,517,3244,18,413,1804,100,836,27,176,5515,1025,19,6,321,353,534,3572,13,450,1943,112,938,32,179,7
284,6332,1070,29,9,351,303,521,3999,20,534,2333,93,880,40,191,4459,918,20,8,235,272,484,2947,12,396,1512,120,1062,22,192,10
285,6092,1088,25,8,366,450,679,4609,17,393,1483,79,709,26,179,5465,1010,21,11,314,356,535,3433,10,445,2032,95,812,13,181,10
286,5368,969,17,5,321,393,585,4094,12,370,1274,86,619,21,150,4975,983,26,11,305,329,481,3009,15,472,1966,68,543,21,153,12
287,5334,1052,29,18,307,319,525,3463,11,498,1871,90,751,12,193,4884,1026,24,10,291,351,602,3424,14,391,1460,88,684,28,193,9
288,5236,1019,19,7,325,375,574,3576,12,404,1660,94,852,33,173,5360,942,14,7,315,323,496,3599,7,403,1761,94,886,36,171,6
289,4135,962,37,16,225,256,484,2289,21,428,1846,106,918,22,197,5374,1060,29,12,328,326,526,3393,17,503,1981,90,765,31,196,2
290,5100,962,17,11,309,320,493,3182,6,420,1918,88,681,33,173,5288,1024,14,8,310,318,545,3252,6,433,2036,107,851,18,178,9
291,4504,961,33,15,276,313,509,2834,18,412,1670,98,767,32,180,4959,994,22,7,283,297,502,2846,15,457,2113,141,1095,23,178,5
292,5931,985,24,9,307,383,578,4334,15,388,1597,113,1006,28,190,5013,994,28,9,297,295,534,3366,19,424,1647,118,908,44,182,13
293,4258,944,33,15,234,255,485,2557,18,410,1701,117,920,22,194,5791,1023,20,12,314,259,438,3303,8,548,2488,86,684,30,193,5
294,4613,945,30,14,285,323,510,3146,16,381,1467,128,1013,33,190,5173,1029,35,11,304,319,533,3332,24,462,1841,137,990,31,189,9
295,4599,934,22,10,266,291,473,2811,12,422,1788,115,943,30,174,5106,1003,22,14,298,343,529,3376,8,432,1730,118,910,33,178,5
296,6109,1013,23,10,344,373,579,4281,13,404,1828,85,708,27,182,6313,1021,28,9,353,315,507,3730,19,483,2583,69,647,22,178,8
297,5502,1013,24,10,331,344,512,3564,14,468,1938,97,796,46,182,4795,1004,36,9,278,377,615,3515,27,339,1280,114,1022,25,185,12
298,6074,1054,18,11,343,377,553,4156,7,467,1918,101,757,24,188,4888,940,24,13,271,341,535,3494,11,357,1394,109,902,25,188,12
299,4722,951,24,11,281,269,475,2818,13,424,1904,118,977,33,182,5187,1005,28,14,310,292,467,3030,14,498,2157,120,1007,28,191,6
300,5583,1056,24,11,323,371,590,3964,13,430,1619,59,428,19,202,5149,1035,34,14,278,333,568,3505,20,422,1644,99,756,17,208,10
301,4053,954,24,11,243,270,449,2237,13,437,1816,106,854,12,173,5824,1012,16,9,348,304,469,3521,7,506,2303,105,846,37,174,2
302,4920,988,44,15,280,325,567,3588,29,381,1332,91,786,27,204,5316,1089,29,12,327,361,601,3573,17,454,1743,105,904,28,200,7
303,6026,1073,21,8,349,365,594,4192,13,453,1834,93,769,34,187,5338,965,29,10,292,340,560,3786,19,372,1552,101,843,19,180,10
304,6533,1041,24,11,373,353,562,4616,13,452,1917,94,758,44,186,5147,982,33,14,284,343,573,3687,19,373,1460,130,1202,28,186,13
305,4309,931,35,16,241,285,561,2921,19,320,1388,108,870,20,190,5977,1092,30,13,339,324,533,3654,17,526,2323,108,894,38,204,5
306,5820,1008,23,6,301,311,566,3983,17,416,1837,101,819,24,193,6078,1031,26,8,329,410,627,4758,18,377,1320,103,851,28,192,7
307,5323,1016,26,10,292,335,540,3578,16,430,1745,99,857,24,195,5115,1034,30,16,307,346,560,3400,14,423,1715,90,779,25,191,10
308,5789,969,16,8,322,289,436,3298,8,492,2491,109,960,22,178,4710,1012,25,11,284,337,567,3203,14,407,1507,93,758,34,180,11
309,6475,968,17,7,379,353,527,4623,10,427,1852,106,801,47,175,5929,1042,36,17,331,364,557,3892,19,440,2037,116,877,19,178,12
310,5069,999,19,6,319,292,473,3043,13,483,2026,80,671,28,170,4820,975,30,10,278,375,563,3429,20,352,1391,84,753,30,178,12
311,6230,1038,25,12,322,348,561,3906,13,428,2324,129,1101,17,196,5235,998,34,11,309,309,536,3469,23,423,1766,87,724,33,194,10
312,4652,939,24,10,238,312,528,3052,14,371,1600,98,758,24,196,5222,1050,33,15,278,352,580,3670,18,426,1552,114,969,25,206,8
313,5018,973,17,8,268,265,453,2819,9,508,2199,108,855,17,191,4698,1022,31,11,276,342,575,3196,20,403,1502,93,750,29,194,13
314,4942,1008,41,13,290,312,574,3228,28,384,1714,110,924,36,186,5250,1026,13,6,315,360,525,3684,7,467,1566,101,906,31,188,0
315,5619,1014,22,9,320,321,510,3419,13,468,2200,115,1094,18,183,4808,991,32,10,280,306,524,3316,22,435,1492,88,741,34,186,9
316,4639,947,32,18,261,262,479,2847,14,427,1792,101,846,26,185,5353,1077,31,6,316,360,573,3591,25,471,1762,104,874,31,191,7
317,5949,1100,24,11,344,442,667,4591,13,393,1358,117,942,35,178,5791,959,20,9,299,328,510,3786,11,417,2005,120,976,28,180,4
318,5002,1022,21,11,287,348,567,3445,10,414,1557,103,789,25,187,4044,963,38,7,236,259,510,2490,31,410,1554,93,749,26,197,12
319,5361,984,22,8,281,353,584,3923,14,376,1438,104,960,25,188,5682,1080,23,12,324,369,591,3629,11,461,2053,99,812,26,187,9
320,6582,1095,30,13,395,456,659,4764,17,406,1818,80,670,36,174,6144,1022,17,5,345,341,546,4019,12,442,2125,105,889,29,171,7
321,4203,960,29,9,245,312,536,2951,20,375,1252,126,1091,26,193,5392,1037,18,8,325,378,582,3732,10,424,1660,108,920,40,192,4
322,5136,1030,30,9,280,210,393,2380,21,607,2756,88,677,17,198,4037,953,31,14,237,259,501,2459,17,420,1578,87,680,22,187,9
323,5424,973,19,10,307,267,420,3236,9,509,2188,128,1183,31,182,4378,990,39,11,282,309,524,2752,28,422,1626,98,879,43,186,13
324,5385,1010,23,13,300,315,519,3356,10,447,2029,70,542,16,176,5637,982,25,10,307,345,510,3774,15,458,1863,64,498,16,168,7
325,5487,1053,31,12,308,356,589,3616,19,420,1871,110,923,23,200,5724,977,30,12,318,333,524,3807,18,421,1917,95,774,30,192,5
326,5568,1008,30,10,320,373,575,4012,20,416,1556,90,670,26,177,5580,1011,35,16,313,353,540,3687,19,449,1893,88,712,15,181,7
327,4397,1023,27,10,269,288,514,2632,17,471,1765,115,1047,22,198,4281,974,26,8,251,294,515,2977,18,419,1304,97,797,31,198,6
328,4923,994,27,10,278,325,539,3264,17,423,1659,103,744,20,197,4737,990,22,8,267,291,500,3000,14,449,1737,89,735,22,195,8
329,6454,1009,21,9,345,407,607,4758,12,379,1696,110,909,30,175,6046,1050,21,8,368,387,589,4130,13,423,1916,100,1023,34,169,8
330,4787,1034,37,18,299,272,493,2891,19,494,1896,83,708,35,194,5174,1019,23,12,293,266,494,3036,11,495,2138,109,805,36,193,6
331,6391,1079,19,7,359,446,651,4918,12,391,1473,95,817,28,181,4891,943,19,7,274,304,507,3105,12,387,1786,91,750,24,181,11
332,5910,1003,18,6,348,339,536,3981,12,446,1929,79,698,27,188,5707,1054,37,12,322,332,565,3363,25,453,2344,95,781,18,190,13
333,4834,907,29,14,252,273,474,3107,15,406,1727,128,1040,24,184,5883,1139,25,8,356,410,625,4032,17,474,1851,114,1039,35,183,6
334,4621,1024,19,6,278,320,570,3090,13,415,1531,95,847,28,180,5318,1035,20,11,301,265,469,2959,9,534,2359,90,726,28,174,4
335,5814,1035,27,13,352,378,605,4366,14,390,1448,104,795,33,175,6049,1011,26,13,327,371,549,4169,13,440,1880,109,937,23,175,5
336,5695,1021,13,3,338,298,491,3177,10,502,2518,102,821,32,178,4672,931,22,5,268,296,503,3139,17,386,1533,111,866,25,173,12
337,5010,957,28,12,260,318,540,3323,16,378,1687,106,847,24,188,5999,1086,24,5,358,374,564,3964,19,483,2035,86,717,26,191,6
338,4974,993,10,5,282,277,451,2930,5,498,2044,113,1014,31,192,4931,974,38,15,267,333,579,3695,23,353,1236,98,867,24,193,13
339,4596,982,31,12,249,292,520,2947,19,417,1649,97,718,14,190,5950,975,26,14,320,278,444,3475,12,501,2475,89,654,16,185,2
340,5616,1048,32,13,324,392,591,4055,19,434,1561,91,730,18,183,4909,963,27,17,279,288,468,2917,10,459,1992,102,746,17,178,10
341,5024,974,25,8,290,306,496,3191,17,443,1833,85,785,36,191,5248,1046,21,9,323,369,605,3828,12,398,1420,119,942,24,185,9
342,5560,1058,28,12,318,361,580,3627,16,451,1933,108,913,27,198,4985,987,45,21,294,287,531,2987,24,413,1998,98,945,29,198,12
343,4488,927,23,11,267,304,510,3122,12,377,1366,110,1027,30,185,5425,1091,14,3,325,336,561,3379,11,489,2046,106,906,41,184,7
344,5547,1060,23,11,347,327,545,3511,12,473,2036,83,756,31,178,5437,999,26,12,309,364,562,3645,14,397,1792,97,760,25,179,7
345,4977,1045,34,12,312,292,512,3054,22,484,1923,94,700,33,197,5285,986,26,14,277,299,504,3256,12,441,2029,118,950,15,196,9
346,4973,1021,28,10,277,299,500,3080,18,487,1893,110,916,25,189,5333,991,26,6,291,257,454,3221,20,508,2112,108,834,26,188,7
347,4960,1034,25,6,281,342,591,3287,19,402,1673,90,789,19,190,4625,1005,27,19,267,279,497,3007,8,461,1618,91,724,29,188,6
348,5602,1015,21,6,320,367,588,3695,15,393,1907,125,985,32,186,5842,1022,28,11,318,353,549,3929,17,429,1913,123,1006,36,185,6
349,4550,1047,29,11,280,299,533,2882,18,475,1668,124,948,42,200,5141,993,30,15,282,271,505,3036,15,450,2105,139,1121,28,203,6
350,5802,1040,16,7,333,345,506,3781,9,472,2021,105,787,37,186,5490,1022,29,14,298,385,594,4167,15,385,1323,117,945,22,187,11
351,6307,1070,12,4,389,389,587,4418,8,448,1889,95,835,50,174,5856,1022,18,6,325,367,590,4020,12,390,1836,111,1035,23,172,13
352,6103,988,24,15,312,323,544,4119,9,416,1984,112,983,17,183,5249,1054,29,10,314,309,525,3067,19,489,2182,96,795,34,186,10
353,6294,1055,24,11,336,333,520,3951,13,493,2343,127,1029,18,183,5356,955,35,7,316,311,531,3477,28,387,1879,90,720,36,178,9
354,3587,865,35,14,191,204,389,1898,21,428,1689,106,780,25,196,6259,1090,26,10,335,374,576,4427,16,486,1832,120,961,15,201,4
355,5915,1107,34,15,329,355,611,3751,19,453,2164,99,802,19,199,5665,993,26,10,329,337,514,3896,16,443,1769,83,697,23,199,3
356,4600,961,34,5,246,279,524,2973,29,404,1627,93,696,18,194,5849,1039,29,10,324,301,482,3318,19,529,2531,80,731,24,190,3
357,4717,1000,37,17,267,260,451,2631,20,508,2086,120,864,23,191,5466,952,26,8,292,261,439,3132,18,486,2334,99,734,15,191,4
358,5310,1000,20,5,287,222,416,2371,15,537,2939,96,877,20,184,5325,994,26,14,313,321,515,3668,12,442,1657,99,799,33,179,7
359,5608,1056,26,10,318,362,606,3911,16,427,1697,74,635,20,200,4389,994,29,14,248,284,525,2913,15,421,1476,81,598,25,198,9
360,5297,1023,31,11,289,264,465,2799,20,525,2498,88,698,14,193,5053,976,37,15,290,305,495,3056,22,450,1997,82,632,26,181,8
361,4122,930,26,10,259,269,459,2515,16,428,1607,120,897,34,177,5496,1030,30,13,343,314,503,3291,17,489,2205,124,904,28,177,5
362,4891,999,25,7,307,352,562,3167,18,386,1724,96,789,32,174,5582,1014,22,11,331,348,513,3789,11,464,1793,94,832,25,174,7
363,4942,1047,38,18,300,344,616,3383,20,387,1559,127,1090,26,196,5320,1060,22,12,314,309,519,3412,10,496,1908,118,983,34,201,4
364,4951,997,23,9,294,316,591,3582,14,361,1369,147,1132,25,183,5292,1029,19,14,299,296,486,3243,5,507,2049,101,825,34,184,4
365,4715,1011,25,6,286,310,512,3014,19,446,1701,63,486,21,171,5310,1016,21,6,315,289,470,3154,15,517,2156,93,761,13,169,4
366,6327,1011,28,7,331,391,590,4603,21,388,1724,94,868,33,190,5809,1055,30,13,327,402,625,4350,17,382,1459,121,1199,25,189,10
367,5153,939,35,13,275,330,582,3858,22,327,1295,134,1013,24,184,5936,1072,18,9,367,315,510,3924,9,537,2012,102,837,42,183,5
368,5458,957,20,8,325,375,586,3954,12,336,1504,102,867,32,183,6645,1094,28,13,388,403,623,4589,15,437,2056,112,875,35,189,8
369,6580,1058,15,6,393,403,586,4731,9,451,1849,78,690,26,167,4613,933,31,12,278,314,526,3041,19,360,1572,96,764,15,175,16
370,4163,971,31,13,237,219,443,2076,18,498,2087,77,678,17,189,6229,1072,19,9,336,313,526,3915,10,506,2314,101,812,27,186,5
371,4463,955,25,12,282,329,481,2778,13,431,1685,90,761,20,169,5400,979,22,11,312,328,505,3444,11,446,1956,96,792,23,168,6
372,5289,1046,34,14,317,365,590,3767,20,428,1522,90,725,26,190,5312,957,26,10,290,326,514,3469,16,416,1843,95,776,23,182,4
373,5575,1075,37,16,304,419,670,4437,21,360,1138,145,1184,22,194,4729,936,26,11,272,301,488,3097,15,411,1632,103,819,31,198,5
374,5529,965,13,6,308,330,491,3632,7,448,1897,81,669,13,174,5264,979,30,12,296,320,551,3644,18,388,1620,86,615,27,165,11
375,5170,1040,31,10,300,335,557,3527,21,445,1643,72,595,20,185,4949,988,19,8,264,288,502,3348,11,447,1601,85,730,14,181,7
376,5542,996,18,10,328,288,450,3357,8,525,2185,108,875,37,179,5360,991,33,10,320,372,607,4053,23,355,1307,109,940,41,183,12
377,4382,911,30,11,233,256,441,2515,19,424,1867,107,855,26,188,5449,1086,33,5,310,295,519,2948,28,535,2501,107,919,19,192,6
378,5674,1039,26,10,306,279,491,3180,16,504,2494,148,1276,34,203,5165,991,24,12,292,249,470,3027,12,474,2138,117,1161,44,205,8
